OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
1438,39,Good,Ozone 8-hr,6,Maple, Mulberry,2021/05/10 05:00:00+00
1439,40,Good,Ozone 8-hr,7,Maple, Mulberry,2021/05/09 05:00:00+00
1440,44,Good,Ozone 8-hr,6,Maple, Mulberry,2021/05/08 05:00:00+00
1441,43,Good,Ozone 8-hr,8,Maple, Mulberry,2021/05/07 05:00:00+00
1442,32,Good,Ozone 8-hr,7,Birch, Maple,2021/05/06 05:00:00+00
1443,37,Good,Ozone 8-hr,7,Birch, Maple,2021/05/05 05:00:00+00
1444,34,Good,PM2.5,0,Birch, Maple,2021/05/04 05:00:00+00
1445,53,Moderate,PM2.5,5,Birch, Maple,2021/05/03 05:00:00+00
1446,67,Moderate,Ozone 8-hr,8,Birch, Maple,2021/05/02 05:00:00+00
1447,44,Good,Ozone 8-hr,8,Birch, Maple,2021/05/01 05:00:00+00
1448,36,Good,PM2.5,8,Birch, Maple,2021/04/30 05:00:00+00
1449,51,Moderate,PM2.5,7,Juniper, Maple,2021/04/29 05:00:00+00
1450,48,Good,Ozone 8-hr,7,Juniper, Maple,2021/04/28 05:00:00+00
1451,55,Moderate,PM2.5,10,Juniper, Maple,2021/04/27 05:00:00+00
1452,60,Moderate,PM2.5,9,Juniper, Maple,2021/04/26 05:00:00+00
1453,43,Good,PM2.5,9,Juniper, Maple,2021/04/25 05:00:00+00
1454,52,Moderate,PM2.5,5,Juniper, Maple,2021/04/24 05:00:00+00
1455,50,Good,PM2.5,8,Juniper, Maple,2021/04/23 05:00:00+00
1456,42,Good,PM2.5,8,Birch, Mulberry,2021/04/22 05:00:00+00
1457,54,Moderate,PM2.5,8,Birch, Mulberry,2021/04/21 05:00:00+00
1458,52,Moderate,PM2.5,10,Birch, Mulberry,2021/04/20 05:00:00+00
1459,55,Moderate,PM2.5,9,Birch, Mulberry,2021/04/19 05:00:00+00
1460,52,Moderate,PM2.5,8,Birch, Mulberry,2021/04/18 05:00:00+00
1461,41,Good,Ozone 8-hr,6,Birch, Mulberry,2021/04/17 05:00:00+00
1462,33,Good,Ozone 8-hr,9,Birch, Mulberry,2021/04/16 05:00:00+00
1463,37,Good,Ozone 8-hr,9,Juniper, Maple,2021/04/15 05:00:00+00
1464,44,Good,Ozone 8-hr,7,Juniper, Maple,2021/04/14 05:00:00+00
1465,50,Good,Ozone 8-hr,8,Juniper, Maple,2021/04/13 05:00:00+00
1466,46,Good,Ozone 8-hr,10,Juniper, Maple,2021/04/12 05:00:00+00
1467,42,Good,Ozone 8-hr,10,Juniper, Maple,2021/04/11 05:00:00+00
1468,48,Good,Ozone 8-hr,4,Juniper, Maple,2021/04/10 05:00:00+00
1469,39,Good,Ozone 8-hr,9,Juniper, Maple,2021/04/09 05:00:00+00
1470,63,Moderate,PM2.5,5,Elm, Juniper,2021/04/08 05:00:00+00
1471,65,Moderate,PM2.5,10,Elm, Juniper,2021/04/07 05:00:00+00
1472,58,Moderate,Ozone 8-hr,10,Elm, Juniper,2021/04/06 05:00:00+00
1473,52,Moderate,PM2.5,10,Elm, Juniper,2021/04/05 05:00:00+00
1474,47,Good,Ozone 8-hr,9,Elm, Juniper,2021/04/04 05:00:00+00
1475,42,Good,Ozone 8-hr,8,Elm, Juniper,2021/04/03 05:00:00+00
1476,36,Good,Ozone 8-hr,8,Elm, Juniper,2021/04/02 05:00:00+00
1477,34,Good,Ozone 8-hr,9,Juniper, Maple,2021/04/01 05:00:00+00
1478,51,Moderate,Ozone 8-hr,1,Juniper, Maple,2021/03/31 05:00:00+00
1479,44,Good,Ozone 8-hr,10,Juniper, Maple,2021/03/30 05:00:00+00
1480,34,Good,Ozone 8-hr,9,Juniper, Maple,2021/03/29 05:00:00+00
1481,33,Good,Ozone 8-hr,1,Juniper, Maple,2021/03/28 05:00:00+00
1482,43,Good,Ozone 8-hr,6,Juniper, Maple,2021/03/27 05:00:00+00
1483,33,Good,Ozone 8-hr,8,Juniper, Maple,2021/03/26 05:00:00+00
1484,44,Good,Ozone 8-hr,3,Juniper, Maple,2021/03/25 05:00:00+00
1485,42,Good,PM2.5,9,Juniper, Maple,2021/03/24 05:00:00+00
1486,44,Good,Ozone 8-hr,9,Juniper, Maple,2021/03/23 05:00:00+00
1487,47,Good,Ozone 8-hr,7,Juniper, Maple,2021/03/22 05:00:00+00
1488,41,Good,Ozone 8-hr,7,Juniper, Maple,2021/03/21 05:00:00+00
1489,34,Good,Ozone 8-hr,7,Juniper, Maple,2021/03/20 05:00:00+00
1490,28,Good,Ozone 8-hr,7,Juniper, Maple,2021/03/19 05:00:00+00
1491,27,Good,Ozone 8-hr,8,Alder, Juniper,2021/03/18 05:00:00+00
1492,56,Moderate,PM2.5,7,Alder, Juniper,2021/03/17 05:00:00+00
1493,40,Good,PM2.5,8,Alder, Juniper,2021/03/16 05:00:00+00
1494,34,Good,Ozone 8-hr,7,Alder, Juniper,2021/03/15 05:00:00+00
1495,27,Good,PM2.5,6,Alder, Juniper,2021/03/14 06:00:00+00
1496,52,Moderate,PM2.5,6,Alder, Juniper,2021/03/13 06:00:00+00
1497,55,Moderate,PM2.5,7,Alder, Juniper,2021/03/12 06:00:00+00
1498,66,Moderate,PM2.5,5,Alder, Juniper,2021/03/11 06:00:00+00
1499,65,Moderate,PM2.5,5,Alder, Juniper,2021/03/10 06:00:00+00
1500,64,Moderate,PM2.5,5,Alder, Juniper,2021/03/09 06:00:00+00
1501,60,Moderate,PM2.5,5,Alder, Juniper,2021/03/08 06:00:00+00
1502,40,Good,Ozone 8-hr,4,Alder, Juniper,2021/03/07 06:00:00+00
1503,34,Good,Ozone 8-hr,4,Alder, Juniper,2021/03/06 06:00:00+00
1504,44,Good,PM2.5,4,Alder, Juniper,2021/03/05 06:00:00+00
1505,53,Moderate,PM2.5,4,Alder, Juniper,2021/03/04 06:00:00+00
1506,35,Good,Ozone 8-hr,4,Alder, Juniper,2021/03/03 06:00:00+00
1507,28,Good,PM2.5,4,Alder, Juniper,2021/03/02 06:00:00+00
1508,34,Good,PM2.5,4,Alder, Juniper,2021/03/01 06:00:00+00
1509,28,Good,PM2.5,,,Not on file,2021/02/28 06:00:00+00
1510,24,Good,PM2.5,,,Not on file,2021/02/27 06:00:00+00
1511,40,Good,PM2.5,,,Not on file,2021/02/26 06:00:00+00
1512,29,Good,PM2.5,,,Not on file,2021/02/25 06:00:00+00
1513,33,Good,PM2.5,,,Not on file,2021/02/24 06:00:00+00
1514,33,Good,PM2.5,,,Not on file,2021/02/23 06:00:00+00
1515,49,Good,PM2.5,,,Not on file,2021/02/22 06:00:00+00
1516,76,Moderate,PM2.5,,,Not on file,2021/02/21 06:00:00+00
1517,79,Moderate,PM2.5,,,Not on file,2021/02/20 06:00:00+00
1518,69,Moderate,PM2.5,,,Not on file,2021/02/19 06:00:00+00
1519,57,Moderate,PM2.5,,,Not on file,2021/02/18 06:00:00+00
1520,33,Good,PM2.5,,,Not on file,2021/02/17 06:00:00+00
1521,66,Moderate,PM2.5,,,Not on file,2021/02/16 06:00:00+00
1522,94,Moderate,PM2.5,,,Not on file,2021/02/15 06:00:00+00
1523,99,Moderate,PM2.5,,,Not on file,2021/02/14 06:00:00+00
1524,85,Moderate,PM2.5,,,Not on file,2021/02/13 06:00:00+00
1525,54,Moderate,PM2.5,,,Not on file,2021/02/12 06:00:00+00
1526,69,Moderate,PM2.5,,,Not on file,2021/02/11 06:00:00+00
1527,64,Moderate,PM2.5,,,Not on file,2021/02/10 06:00:00+00
1528,58,Moderate,PM2.5,,,Not on file,2021/02/09 06:00:00+00
1529,52,Moderate,PM2.5,,,Not on file,2021/02/08 06:00:00+00
1530,49,Good,PM2.5,,,Not on file,2021/02/07 06:00:00+00
1531,46,Good,PM2.5,,,Not on file,2021/02/06 06:00:00+00
1532,49,Good,PM2.5,,,Not on file,2021/02/05 06:00:00+00
1533,38,Good,PM2.5,,,Not on file,2021/02/04 06:00:00+00
1534,30,Good,PM2.5,,,Not on file,2021/02/03 06:00:00+00
1535,30,Good,PM2.5,,,Not on file,2021/02/02 06:00:00+00
1536,29,Good,PM2.5,,,Not on file,2021/02/01 06:00:00+00
1537,43,Good,PM2.5,,,Not on file,2021/01/31 06:00:00+00
1538,57,Moderate,PM2.5,,,Not on file,2021/01/30 06:00:00+00
1539,42,Good,PM2.5,,,Not on file,2021/01/29 06:00:00+00
1540,30,Good,PM2.5,,,Not on file,2021/01/28 06:00:00+00
1541,14,Good,PM2.5,,,Not on file,2021/01/27 06:00:00+00
1542,25,Good,PM2.5,,,Not on file,2021/01/26 06:00:00+00
1543,37,Good,PM2.5,,,Not on file,2021/01/25 06:00:00+00
1544,22,Good,PM2.5,,,Not on file,2021/01/24 06:00:00+00
1545,36,Good,PM2.5,,,Not on file,2021/01/23 06:00:00+00
1546,43,Good,PM2.5,,,Not on file,2021/01/22 06:00:00+00
1547,27,Good,PM2.5,,,Not on file,2021/01/21 06:00:00+00
1548,29,Good,PM2.5,,,Not on file,2021/01/20 06:00:00+00
1549,24,Good,PM2.5,,,Not on file,2021/01/19 06:00:00+00
1550,21,Good,PM2.5,,,Not on file,2021/01/18 06:00:00+00
1551,29,Good,PM2.5,,,Not on file,2021/01/17 06:00:00+00
1552,23,Good,PM2.5,,,Not on file,2021/01/16 06:00:00+00
1553,43,Good,PM2.5,,,Not on file,2021/01/15 06:00:00+00
1554,59,Moderate,PM2.5,,,Not on file,2021/01/14 06:00:00+00
1555,67,Moderate,PM2.5,,,Not on file,2021/01/13 06:00:00+00
1556,68,Moderate,PM2.5,,,Not on file,2021/01/12 06:00:00+00
1557,62,Moderate,PM2.5,,,Not on file,2021/01/11 06:00:00+00
1558,55,Moderate,PM2.5,,,Not on file,2021/01/10 06:00:00+00
1559,48,Good,PM2.5,,,Not on file,2021/01/09 06:00:00+00
1560,33,Good,PM2.5,,,Not on file,2021/01/08 06:00:00+00
1561,44,Good,PM2.5,,,Not on file,2021/01/07 06:00:00+00
1562,44,Good,PM2.5,,,Not on file,2021/01/06 06:00:00+00
1563,50,Good,PM2.5,,,Not on file,2021/01/05 06:00:00+00
1564,35,Good,PM2.5,,,Not on file,2021/01/04 06:00:00+00
1565,24,Good,PM2.5,,,Not on file,2021/01/03 06:00:00+00
1566,21,Good,PM2.5,,,Not on file,2021/01/02 06:00:00+00
1567,13,Good,PM2.5,,,Not on file,2021/01/01 06:00:00+00
1568,39,Good,PM2.5,,,Not on file,2020/12/31 06:00:00+00
1569,70,Moderate,PM2.5,,,Not on file,2020/12/30 06:00:00+00
1570,47,Good,PM2.5,,,Not on file,2020/12/29 06:00:00+00
1571,24,Good,PM2.5,,,Not on file,2020/12/28 06:00:00+00
1572,33,Good,PM2.5,,,Not on file,2020/12/27 06:00:00+00
1573,24,Good,PM2.5,,,Not on file,2020/12/26 06:00:00+00
1574,22,Good,PM2.5,,,Not on file,2020/12/25 06:00:00+00
1575,26,Good,PM2.5,,,Not on file,2020/12/24 06:00:00+00
1576,29,Good,PM2.5,,,Not on file,2020/12/23 06:00:00+00
1577,43,Good,PM2.5,,,Not on file,2020/12/22 06:00:00+00
1578,55,Moderate,PM2.5,,,Not on file,2020/12/21 06:00:00+00
1579,55,Moderate,PM2.5,,,Not on file,2020/12/20 06:00:00+00
1580,78,Moderate,PM2.5,,,Not on file,2020/12/19 06:00:00+00
1581,70,Moderate,PM2.5,,,Not on file,2020/12/18 06:00:00+00
1582,52,Moderate,PM2.5,,,Not on file,2020/12/17 06:00:00+00
1583,50,Good,PM2.5,,,Not on file,2020/12/16 06:00:00+00
1584,43,Good,PM2.5,,,Not on file,2020/12/15 06:00:00+00
1585,59,Moderate,PM2.5,,,Not on file,2020/12/14 06:00:00+00
1586,40,Good,PM2.5,,,Not on file,2020/12/13 06:00:00+00
1587,58,Moderate,PM2.5,,,Not on file,2020/12/12 06:00:00+00
1588,59,Moderate,PM2.5,,,Not on file,2020/12/11 06:00:00+00
1589,64,Moderate,PM2.5,,,Not on file,2020/12/10 06:00:00+00
1590,67,Moderate,PM2.5,,,Not on file,2020/12/09 06:00:00+00
1591,55,Moderate,PM2.5,,,Not on file,2020/12/08 06:00:00+00
1592,74,Moderate,PM2.5,,,Not on file,2020/12/07 06:00:00+00
1593,82,Moderate,PM2.5,,,Not on file,2020/12/06 06:00:00+00
1594,48,Good,PM2.5,,,Not on file,2020/12/05 06:00:00+00
1595,51,Moderate,PM2.5,,,Not on file,2020/12/04 06:00:00+00
1596,52,Moderate,PM2.5,,,Not on file,2020/12/03 06:00:00+00
1597,46,Good,PM2.5,,,Not on file,2020/12/02 06:00:00+00
1598,25,Good,PM2.5,,,Not on file,2020/12/01 06:00:00+00
1599,60,Moderate,PM2.5,,,Not on file,2020/11/30 06:00:00+00
1600,57,Moderate,PM2.5,,,Not on file,2020/11/29 06:00:00+00
1601,66,Moderate,PM2.5,,,Not on file,2020/11/28 06:00:00+00
1602,57,Moderate,PM2.5,,,Not on file,2020/11/27 06:00:00+00
1603,30,Good,PM2.5,,,Not on file,2020/11/26 06:00:00+00
1604,45,Good,PM2.5,,,Not on file,2020/11/25 06:00:00+00
1605,44,Good,PM2.5,,,Not on file,2020/11/24 06:00:00+00
1606,52,Moderate,PM2.5,,,Not on file,2020/11/23 06:00:00+00
1607,78,Moderate,PM2.5,,,Not on file,2020/11/22 06:00:00+00
1608,65,Moderate,PM2.5,,,Not on file,2020/11/21 06:00:00+00
1609,34,Good,PM2.5,,,Not on file,2020/11/20 06:00:00+00
1610,34,Good,PM2.5,,,Not on file,2020/11/19 06:00:00+00
1611,21,Good,PM2.5,,,Not on file,2020/11/18 06:00:00+00
1612,29,Good,PM2.5,,,Not on file,2020/11/17 06:00:00+00
1613,26,Good,PM2.5,,,Not on file,2020/11/16 06:00:00+00
1614,56,Moderate,PM2.5,,,Not on file,2020/11/15 06:00:00+00
1615,54,Moderate,PM2.5,,,Not on file,2020/11/14 06:00:00+00
1616,39,Good,PM2.5,,,Not on file,2020/11/13 06:00:00+00
1617,29,Good,PM2.5,,,Not on file,2020/11/12 06:00:00+00
1618,26,Good,PM2.5,,,Not on file,2020/11/11 06:00:00+00
1619,33,Good,PM2.5,,,Not on file,2020/11/10 06:00:00+00
1620,42,Good,PM2.5,,,Not on file,2020/11/09 06:00:00+00
1621,73,Moderate,PM2.5,,,Not on file,2020/11/08 06:00:00+00
1622,89,Moderate,PM2.5,,,Not on file,2020/11/07 06:00:00+00
1623,66,Moderate,PM2.5,,,Not on file,2020/11/06 06:00:00+00
1624,54,Moderate,PM2.5,,,Not on file,2020/11/05 06:00:00+00
1625,55,Moderate,PM2.5,,,Not on file,2020/11/04 06:00:00+00
1626,40,Good,PM2.5,,,Not on file,2020/11/03 06:00:00+00
1627,31,Good,Ozone 8-hr,,,Not on file,2020/11/02 06:00:00+00
1628,51,Moderate,PM2.5,,,Not on file,2020/11/01 05:00:00+00
1629,49,Good,PM2.5,0,Ragweed,Slight,2020/10/31 05:00:00+00
1630,21,Good,PM2.5,0,Ragweed,Slight,2020/10/30 05:00:00+00
1631,42,Good,PM2.5,0,Ragweed,Slight,2020/10/29 05:00:00+00
1632,48,Good,PM2.5,0,Ragweed,Slight,2020/10/28 05:00:00+00
1633,29,Good,PM2.5,0,Ragweed,Slight,2020/10/27 05:00:00+00
1634,36,Good,PM2.5,0,Ragweed,Slight,2020/10/26 05:00:00+00
1635,20,Good,PM2.5,0,Ragweed,Slight,2020/10/25 05:00:00+00
1636,30,Good,Ozone 8-hr,0,Ragweed,Slight,2020/10/24 05:00:00+00
1637,36,Good,PM2.5,1,Ragweed,Slight,2020/10/23 05:00:00+00
1638,51,Moderate,PM2.5,0,Ragweed,Slight,2020/10/22 05:00:00+00
1639,52,Moderate,PM2.5,0,Ragweed,Slight,2020/10/21 05:00:00+00
1640,49,Good,PM2.5,1,Ragweed,Slight,2020/10/20 05:00:00+00
1641,45,Good,PM2.5,0,Ragweed,Slight,2020/10/19 05:00:00+00
1642,29,Good,PM2.5,0,Ragweed,Slight,2020/10/18 05:00:00+00
1643,30,Good,Ozone 8-hr,0,Ragweed,Slight,2020/10/17 05:00:00+00
1644,36,Good,Ozone 8-hr,0,Ragweed,Slight,2020/10/16 05:00:00+00
1645,34,Good,Ozone 8-hr,2,Ragweed,Slight,2020/10/15 05:00:00+00
1646,34,Good,Ozone 8-hr,0,Ragweed,Slight,2020/10/14 05:00:00+00
1647,37,Good,PM2.5,1,Ragweed,Slight,2020/10/13 05:00:00+00
1648,18,Good,PM2.5,2,Ragweed,Slight,2020/10/12 05:00:00+00
1649,41,Good,PM2.5,2,Ragweed,Slight,2020/10/11 05:00:00+00
1650,91,Moderate,PM2.5,2,Ragweed,Slight,2020/10/10 05:00:00+00
1651,102,Unhealthy for Sensitive Groups,PM2.5,1,Ragweed,Slight,2020/10/09 05:00:00+00
1652,55,Moderate,PM2.5,1,Elm, Grass,2020/10/08 05:00:00+00
1653,51,Moderate,PM2.5,1,Elm, Grass,2020/10/07 05:00:00+00
1654,43,Good,PM2.5,1,Elm, Grass,2020/10/06 05:00:00+00
1655,51,Moderate,PM2.5,2,Elm, Grass,2020/10/05 05:00:00+00
1656,51,Moderate,PM2.5,3,Elm, Grass,2020/10/04 05:00:00+00
1657,29,Good,PM2.5,2,Elm, Grass,2020/10/03 05:00:00+00
1658,32,Good,Ozone 8-hr,3,Elm, Grass,2020/10/02 05:00:00+00
1659,33,Good,Ozone 8-hr,4,Elm, Grass,2020/10/01 05:00:00+00
1660,41,Good,PM2.5,4,Elm, Grass,2020/09/30 05:00:00+00
1661,38,Good,PM2.5,5,Elm, Grass,2020/09/29 05:00:00+00
1662,41,Good,PM2.5,5,Elm, Grass,2020/09/28 05:00:00+00
1663,34,Good,PM2.5,5,Elm, Grass,2020/09/27 05:00:00+00
1664,27,Good,PM2.5,5,Elm, Grass,2020/09/26 05:00:00+00
1665,29,Good,PM2.5,6,Elm, Grass,2020/09/25 05:00:00+00
1666,36,Good,PM2.5,6,Elm, Grass,2020/09/24 05:00:00+00
1667,39,Good,Ozone 8-hr,5,Elm, Grass,2020/09/23 05:00:00+00
1668,37,Good,Ozone 8-hr,5,Elm, Grass,2020/09/22 05:00:00+00
1669,43,Good,PM2.5,5,Elm, Grass,2020/09/21 05:00:00+00
1670,36,Good,PM2.5,5,Elm, Grass,2020/09/20 05:00:00+00
1671,49,Good,PM2.5,5,Elm, Grass,2020/09/19 05:00:00+00
1672,40,Good,Ozone 8-hr,7,Elm, Grass,2020/09/18 05:00:00+00
1673,40,Good,Ozone 8-hr,7,Grass, Ragweed,2020/09/17 05:00:00+00
1674,35,Good,PM2.5,6,Grass, Ragweed,2020/09/16 05:00:00+00
1675,32,Good,PM2.5,7,Grass, Ragweed,2020/09/15 05:00:00+00
1676,20,Good,PM2.5,7,Grass, Ragweed,2020/09/14 05:00:00+00
1677,32,Good,PM2.5,8,Grass, Ragweed,2020/09/13 05:00:00+00
1678,34,Good,PM2.5,8,Grass, Ragweed,2020/09/12 05:00:00+00
1679,42,Good,PM2.5,8,Grass, Ragweed,2020/09/11 05:00:00+00
1680,67,Moderate,Ozone 8-hr,9,Grass, Ragweed,2020/09/10 05:00:00+00
1681,51,Moderate,Ozone 8-hr,8,Grass, Ragweed,2020/09/09 05:00:00+00
1682,47,Good,Ozone 8-hr,8,Grass, Ragweed,2020/09/08 05:00:00+00
1683,44,Good,PM2.5,8,Grass, Ragweed,2020/09/07 05:00:00+00
1684,44,Good,Ozone 8-hr,9,Grass, Ragweed,2020/09/06 05:00:00+00
1685,34,Good,PM2.5,10,Grass, Ragweed,2020/09/05 05:00:00+00
1686,51,Moderate,PM2.5,10,Grass, Ragweed,2020/09/04 05:00:00+00
1687,39,Good,PM2.5,10,Grass, Ragweed,2020/09/03 05:00:00+00
1688,41,Good,PM2.5,10,Grass, Ragweed,2020/09/02 05:00:00+00
1689,37,Good,PM2.5,10,Grass, Ragweed,2020/09/01 05:00:00+00
1690,37,Good,PM2.5,10,Grass, Ragweed,2020/08/31 05:00:00+00
1691,32,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/30 05:00:00+00
1692,20,Good,Ozone 8-hr,10,Grass, Ragweed,2020/08/29 05:00:00+00
1693,22,Good,PM2.5,10,Grass, Ragweed,2020/08/28 05:00:00+00
1694,52,Moderate,PM2.5,9,Grass, Ragweed,2020/08/27 05:00:00+00
1695,48,Good,PM2.5,9,Grass, Ragweed,2020/08/26 05:00:00+00
1696,50,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/25 05:00:00+00
1697,41,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/24 05:00:00+00
1698,38,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/23 05:00:00+00
1699,31,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/22 05:00:00+00
1700,42,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/21 05:00:00+00
1701,32,Good,Ozone 8-hr,9,Grass, Ragweed,2020/08/20 05:00:00+00
1702,44,Good,Ozone 8-hr,8,Grass, Ragweed,2020/08/19 05:00:00+00
1703,50,Good,PM2.5,8,Grass, Ragweed,2020/08/18 05:00:00+00
1704,40,Good,Ozone 8-hr,8,Grass, Ragweed,2020/08/17 05:00:00+00
1705,50,Good,PM2.5,8,Grass,Moderate,2020/08/16 05:00:00+00
1706,47,Good,PM2.5,8,Grass,Moderate,2020/08/15 05:00:00+00
1707,64,Moderate,Ozone 8-hr,7,Grass,Moderate,2020/08/14 05:00:00+00
1708,49,Good,PM2.5,7,Grass,Moderate,2020/08/13 05:00:00+00
1709,44,Good,Ozone 8-hr,7,Grass,Moderate,2020/08/12 05:00:00+00
1710,42,Good,Ozone 8-hr,6,Grass,Moderate,2020/08/11 05:00:00+00
1711,41,Good,Ozone 8-hr,6,Grass,Moderate,2020/08/10 05:00:00+00
1712,54,Moderate,Ozone 8-hr,5,Grass,Moderate,2020/08/09 05:00:00+00
1713,50,Good,Ozone 8-hr,5,Grass,Moderate,2020/08/08 05:00:00+00
1714,42,Good,Ozone 8-hr,5,Grass,Moderate,2020/08/07 05:00:00+00
1715,41,Good,Ozone 8-hr,5,Grass,Moderate,2020/08/06 05:00:00+00
1716,33,Good,Ozone 8-hr,5,Grass,Moderate,2020/08/05 05:00:00+00
1717,45,Good,Ozone 8-hr,5,Grass,Moderate,2020/08/04 05:00:00+00
1718,40,Good,Ozone 8-hr,5,Grass,Slight,2020/08/03 05:00:00+00
1719,26,Good,Ozone 8-hr,4,Grass,Slight,2020/08/02 05:00:00+00
1720,32,Good,Ozone 8-hr,4,Grass,Slight,2020/08/01 05:00:00+00
1721,48,Good,PM2.5,4,Grass,Slight,2020/07/31 05:00:00+00
1722,30,Good,PM2.5,4,Grass,Slight,2020/07/30 05:00:00+00
1723,45,Good,PM2.5,3,Grass,Slight,2020/07/29 05:00:00+00
1724,31,Good,Ozone 8-hr,4,Grass,Slight,2020/07/28 05:00:00+00
1725,34,Good,Ozone 8-hr,4,Grass,Slight,2020/07/27 05:00:00+00
1726,34,Good,Ozone 8-hr,3,Grass,Slight,2020/07/26 05:00:00+00
1727,35,Good,Ozone 8-hr,3,Grass,Slight,2020/07/25 05:00:00+00
1728,48,Good,PM2.5,3,Grass,Slight,2020/07/24 05:00:00+00
1729,47,Good,PM2.5,3,Grass, Ragweed,2020/07/23 05:00:00+00
1730,52,Moderate,PM2.5,3,Grass, Ragweed,2020/07/22 05:00:00+00
1731,51,Moderate,PM2.5,3,Grass, Ragweed,2020/07/21 05:00:00+00
1732,51,Moderate,PM2.5,3,Grass, Ragweed,2020/07/20 05:00:00+00
1733,45,Good,PM2.5,2,Grass, Ragweed,2020/07/19 05:00:00+00
1734,41,Good,Ozone 8-hr,3,Grass, Ragweed,2020/07/18 05:00:00+00
1735,55,Moderate,PM2.5,2,Grass, Ragweed,2020/07/17 05:00:00+00
1736,53,Moderate,PM2.5,2,Grass,Slight,2020/07/16 05:00:00+00
1737,77,Moderate,Ozone 8-hr,2,Grass,Slight,2020/07/15 05:00:00+00
1738,61,Moderate,Ozone 8-hr,2,Grass,Slight,2020/07/14 05:00:00+00
1739,48,Good,Ozone 8-hr,3,Grass,Slight,2020/07/13 05:00:00+00
1740,47,Good,Ozone 8-hr,3,Grass,Slight,2020/07/12 05:00:00+00
1741,44,Good,Ozone 8-hr,3,Grass,Slight,2020/07/11 05:00:00+00
1742,58,Moderate,Ozone 8-hr,3,Grass,Slight,2020/07/10 05:00:00+00
1743,49,Good,Ozone 8-hr,3,Grass,Slight,2020/07/09 05:00:00+00
1744,48,Good,PM2.5,2,Grass,Slight,2020/07/08 05:00:00+00
1745,51,Moderate,PM2.5,2,Grass,Slight,2020/07/07 05:00:00+00
1746,52,Moderate,PM2.5,2,Grass,Slight,2020/07/06 05:00:00+00
1747,56,Moderate,PM2.5,1,Grass,Slight,2020/07/05 05:00:00+00
1748,61,Moderate,PM2.5,3,Grass,Slight,2020/07/04 05:00:00+00
1749,43,Good,Ozone 8-hr,3,Grass,Slight,2020/07/03 05:00:00+00
1750,51,Moderate,PM2.5,2,Grass,Slight,2020/07/02 05:00:00+00
1751,50,Good,PM2.5,0,Grass,Slight,2020/07/01 05:00:00+00
1752,49,Good,PM2.5,0,Grass,Slight,2020/06/30 05:00:00+00
1753,80,Moderate,PM2.5,3,Grass,Slight,2020/06/29 05:00:00+00
1754,57,Moderate,PM2.5,0,Grass,Slight,2020/06/28 05:00:00+00
1755,123,Unhealthy for Sensitive Groups,PM2.5,3,Grass,Slight,2020/06/27 05:00:00+00
1756,71,Moderate,Ozone 8-hr,3,Grass,Slight,2020/06/26 05:00:00+00
1757,45,Good,Ozone 8-hr,3,Grass,Slight,2020/06/25 05:00:00+00
1758,37,Good,Ozone 8-hr,3,Grass,Slight,2020/06/24 05:00:00+00
1759,36,Good,Ozone 8-hr,0,Grass,Slight,2020/06/23 05:00:00+00
1760,30,Good,Ozone 8-hr,2,Grass,Slight,2020/06/22 05:00:00+00
1761,58,Moderate,Ozone 8-hr,2,Grass,Slight,2020/06/21 05:00:00+00
1762,77,Moderate,Ozone 8-hr,2,Grass,Slight,2020/06/20 05:00:00+00
1763,77,Moderate,Ozone 8-hr,2,Grass,Slight,2020/06/19 05:00:00+00
1764,38,Good,Ozone 8-hr,2,Grass,Slight,2020/06/18 05:00:00+00
1765,38,Good,Ozone 8-hr,3,Grass, Poplar,2020/06/17 05:00:00+00
1766,45,Good,Ozone 8-hr,3,Grass, Poplar,2020/06/16 05:00:00+00
1767,47,Good,Ozone 8-hr,3,Grass, Poplar,2020/06/15 05:00:00+00
1768,74,Moderate,Ozone 8-hr,3,Grass, Poplar,2020/06/14 05:00:00+00
1769,48,Good,Ozone 8-hr,4,Grass, Poplar,2020/06/13 05:00:00+00
1770,44,Good,Ozone 8-hr,4,Grass, Poplar,2020/06/12 05:00:00+00
1771,43,Good,Ozone 8-hr,4,Grass, Juniper,2020/06/11 05:00:00+00
1772,22,Good,Ozone 8-hr,5,Grass, Juniper,2020/06/10 05:00:00+00
1773,25,Good,Ozone 8-hr,0,Grass, Juniper,2020/06/09 05:00:00+00
1774,58,Moderate,Ozone 8-hr,5,Grass, Juniper,2020/06/08 05:00:00+00
1775,54,Moderate,Ozone 8-hr,5,Grass, Juniper,2020/06/07 05:00:00+00
1776,44,Good,Ozone 8-hr,5,Grass, Juniper,2020/06/06 05:00:00+00
1777,34,Good,Ozone 8-hr,5,Grass, Juniper,2020/06/05 05:00:00+00
1778,52,Moderate,PM2.5,2,Grass, Maple,2020/06/04 05:00:00+00
1779,46,Good,Ozone 8-hr,5,Grass, Maple,2020/06/03 05:00:00+00
